ID_Venta,Fecha,Cliente,Producto,Categoría,Cantidad,Precio_Unitario,Total_Venta,Canal
51,2025-02-22,C0041,Chaqueta Jeans,Ropa Unisex,4,220000,880000,Web
52,2025-05-10,C0905,Sudadera Deportiva,Ropa Unisex,1,95000,95000,Web
53,2025-03-25,C0393,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Web
54,2025-04-02,C0703,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Marketplace
55,2025-04-21,C0079,Sudadera Deportiva,Ropa Unisex,1,95000,95000,Marketplace
56,2025-06-21,C0717,Jeans Azul,Ropa Mujer,5,120000,600000,Web
57,2025-01-08,C0896,Jeans Azul,Ropa Mujer,1,120000,120000,Web
58,2025-06-24,C0790,Bolso de Cuero,Accesorios,4,175000,700000,Web
59,2025-02-04,C0784,Jeans Azul,Ropa Mujer,5,120000,600000,RedesSociales
60,2025-03-22,C0544,Jeans Azul,Ropa Mujer,1,120000,120000,RedesSociales
61,2025-06-13,C0450,Camiseta Blanca,Ropa Hombre,3,40000,120000,Marketplace
62,2025-02-19,C0474,Zapatos Casual,Calzado,3,150000,450000,RedesSociales
63,2025-04-14,C0142,Gorra Negra,Accesorios,4,35000,140000,RedesSociales
64,2025-05-12,C0251,Gorra Negra,Accesorios,2,35000,70000,Web
65,2025-01-02,C0294,Vestido Rojo,Ropa Mujer,2,180000,360000,Web
66,2025-05-14,C0610,Camiseta Negra,Ropa Hombre,1,45000,45000,Web
67,2025-02-23,C0136,Sudadera Deportiva,Ropa Unisex,5,95000,475000,Web
68,2025-04-16,C0484,Chaqueta Jeans,Ropa Unisex,2,220000,440000,Marketplace
69,2025-01-04,C0789,Camiseta Blanca,Ropa Hombre,3,40000,120000,Marketplace
70,2025-02-23,C0312,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Marketplace
71,2025-05-26,C0814,Camiseta Negra,Ropa Hombre,3,45000,135000,Web
72,2025-02-13,C0555,Jeans Azul,Ropa Mujer,2,120000,240000,Marketplace
73,2025-06-11,C0632,Vestido Rojo,Ropa Mujer,4,180000,720000,Web
74,2025-01-14,C0732,Jeans Azul,Ropa Mujer,5,120000,600000,Web
75,2025-04-05,C0046,Sudadera Deportiva,Ropa Unisex,1,95000,95000,RedesSociales
76,2025-02-17,C0236,Vestido Rojo,Ropa Mujer,3,180000,540000,Web
77,2025-01-15,C0048,Camiseta Negra,Ropa Hombre,2,45000,90000,Web
78,2025-02-09,C0198,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Marketplace
79,2025-03-23,C0084,Chaqueta Jeans,Ropa Unisex,3,220000,660000,RedesSociales
80,2025-04-21,C0543,Bolso de Cuero,Accesorios,3,175000,525000,Web
81,2025-02-22,C0161,Tenis Running,Calzado,4,200000,800000,Marketplace
82,2025-01-24,C0428,Tenis Running,Calzado,2,200000,400000,RedesSociales
83,2025-06-03,C0071,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Web
84,2025-05-04,C0520,Tenis Running,Calzado,2,200000,400000,Web
85,2025-02-10,C0969,Gorra Negra,Accesorios,2,35000,70000,Marketplace
86,2025-06-06,C0898,Zapatos Casual,Calzado,5,150000,750000,Web
87,2025-01-15,C0913,Camiseta Negra,Ropa Hombre,3,45000,135000,Web
88,2025-02-14,C0052,Zapatos Casual,Calzado,3,150000,450000,RedesSociales
89,2025-03-06,C0045,Tenis Running,Calzado,5,200000,1000000,Marketplace
90,2025-03-30,C0293,Jeans Azul,Ropa Mujer,5,120000,600000,Web
91,2025-03-12,C0938,Bolso de Cuero,Accesorios,2,175000,350000,Web
92,2025-01-09,C0812,Tenis Running,Calzado,3,200000,600000,Marketplace
93,2025-03-29,C0465,Camiseta Blanca,Ropa Hombre,1,40000,40000,Web
94,2025-05-09,C0885,Sudadera Deportiva,Ropa Unisex,4,95000,380000,Marketplace
95,2025-05-16,C0550,Vestido Rojo,Ropa Mujer,5,180000,900000,Marketplace
96,2025-03-04,C0867,Jeans Azul,Ropa Mujer,1,120000,120000,Web
97,2025-05-19,C0380,Sudadera Deportiva,Ropa Unisex,1,95000,95000,RedesSociales
98,2025-03-22,C0743,Gorra Negra,Accesorios,2,35000,70000,RedesSociales
99,2025-05-16,C0478,Bolso de Cuero,Accesorios,5,175000,875000,Web
100,2025-06-12,C0262,Camiseta Blanca,Ropa Hombre,1,40000,40000,Web
101,2025-06-12,C0580,Gorra Negra,Accesorios,4,35000,140000,Web
102,2025-02-02,C0179,Gorra Negra,Accesorios,1,35000,35000,Web
103,2025-05-03,C0357,Gorra Negra,Accesorios,4,35000,140000,Web
104,2025-01-05,C0419,Chaqueta Jeans,Ropa Unisex,4,220000,880000,Web
105,2025-02-10,C0698,Sudadera Deportiva,Ropa Unisex,4,95000,380000,Web
106,2025-01-28,C0953,Vestido Rojo,Ropa Mujer,5,180000,900000,Web
107,2025-05-15,C0201,Zapatos Casual,Calzado,4,150000,600000,Web
108,2025-03-13,C0902,Camiseta Blanca,Ropa Hombre,5,40000,200000,Web
109,2025-01-12,C0013,Zapatos Casual,Calzado,1,150000,150000,Web
110,2025-06-11,C0443,Camiseta Blanca,Ropa Hombre,4,40000,160000,Web
111,2025-02-02,C0726,Camiseta Negra,Ropa Hombre,3,45000,135000,RedesSociales
112,2025-02-17,C0732,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Web
113,2025-05-31,C0286,Camiseta Blanca,Ropa Hombre,3,40000,120000,RedesSociales
114,2025-03-03,C0756,Tenis Running,Calzado,3,200000,600000,Web
115,2025-02-06,C0868,Tenis Running,Calzado,2,200000,400000,Marketplace
116,2025-04-09,C0258,Camiseta Negra,Ropa Hombre,5,45000,225000,Web
117,2025-06-21,C0570,Vestido Rojo,Ropa Mujer,2,180000,360000,RedesSociales
118,2025-04-14,C0548,Bolso de Cuero,Accesorios,5,175000,875000,Web
119,2025-02-04,C0840,Chaqueta Jeans,Ropa Unisex,2,220000,440000,RedesSociales
120,2025-04-11,C0941,Gorra Negra,Accesorios,1,35000,35000,Web
121,2025-06-24,C0490,Sudadera Deportiva,Ropa Unisex,3,95000,285000,Web
122,2025-05-11,C0498,Jeans Azul,Ropa Mujer,1,120000,120000,Web
123,2025-01-01,C0905,Chaqueta Jeans,Ropa Unisex,5,220000,1100000,Marketplace
124,2025-01-05,C0894,Camiseta Negra,Ropa Hombre,3,45000,135000,RedesSociales
125,2025-05-22,C0705,Tenis Running,Calzado,3,200000,600000,Web
126,2025-04-13,C0333,Sudadera Deportiva,Ropa Unisex,5,95000,475000,Marketplace
127,2025-01-27,C0562,Camiseta Blanca,Ropa Hombre,1,40000,40000,Marketplace
128,2025-05-17,C0975,Vestido Rojo,Ropa Mujer,3,180000,540000,Marketplace
129,2025-01-15,C0032,Vestido Rojo,Ropa Mujer,1,180000,180000,Marketplace
130,2025-03-31,C0610,Bolso de Cuero,Accesorios,1,175000,175000,Web
131,2025-02-11,C0043,Bolso de Cuero,Accesorios,1,175000,175000,Web
132,2025-05-04,C0893,Chaqueta Jeans,Ropa Unisex,3,220000,660000,Marketplace
133,2025-06-28,C0351,Jeans Azul,Ropa Mujer,4,120000,480000,Web
134,2025-03-04,C0334,Camiseta Negra,Ropa Hombre,2,45000,90000,RedesSociales
135,2025-04-06,C0822,Sudadera Deportiva,Ropa Unisex,5,95000,475000,RedesSociales
136,2025-02-21,C0559,Tenis Running,Calzado,1,200000,200000,RedesSociales
137,2025-04-06,C0270,Camiseta Negra,Ropa Hombre,3,45000,135000,Web
138,2025-05-12,C0944,Camiseta Negra,Ropa Hombre,5,45000,225000,Web
139,2025-05-31,C0823,Zapatos Casual,Calzado,4,150000,600000,Web
140,2025-05-23,C0413,Zapatos Casual,Calzado,4,150000,600000,RedesSociales
141,2025-06-20,C0943,Camiseta Blanca,Ropa Hombre,3,40000,120000,Web
142,2025-01-29,C0575,Jeans Azul,Ropa Mujer,1,120000,120000,Web
143,2025-02-05,C0019,Camiseta Blanca,Ropa Hombre,4,40000,160000,Web
144,2025-01-13,C0347,Sudadera Deportiva,Ropa Unisex,4,95000,380000,Web
145,2025-06-09,C0905,Tenis Running,Calzado,4,200000,800000,Web
146,2025-03-12,C0613,Tenis Running,Calzado,3,200000,600000,Web
147,2025-03-27,C0037,Camiseta Negra,Ropa Hombre,5,45000,225000,Web
148,2025-01-28,C0619,Bolso de Cuero,Accesorios,2,175000,350000,RedesSociales
149,2025-03-07,C0092,Tenis Running,Calzado,3,200000,600000,Marketplace
150,2025-06-19,C0820,Bolso de Cuero,Accesorios,1,175000,175000,Marketplace
151,2025-02-14,C0185,Bolso de Cuero,Accesorios,3,175000,525000,Web
152,2025-03-03,C0728,Sudadera Deportiva,Ropa Unisex,3,95000,285000,RedesSociales
153,2025-05-14,C0028,Jeans Azul,Ropa Mujer,2,120000,240000,RedesSociales
154,2025-01-28,C0548,Camiseta Negra,Ropa Hombre,2,45000,90000,RedesSociales
155,2025-01-28,C0372,Tenis Running,Calzado,2,200000,400000,Web
156,2025-04-18,C0832,Gorra Negra,Accesorios,5,35000,175000,RedesSociales
157,2025-02-13,C0530,Jeans Azul,Ropa Mujer,3,120000,360000,Web
158,2025-03-25,C0345,Zapatos Casual,Calzado,1,150000,150000,Web
159,2025-01-30,C0419,Gorra Negra,Accesorios,2,35000,70000,Web
160,2025-03-16,C0196,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Marketplace
161,2025-05-08,C0078,Jeans Azul,Ropa Mujer,3,120000,360000,Marketplace
162,2025-04-02,C0167,Sudadera Deportiva,Ropa Unisex,1,95000,95000,Web
163,2025-05-09,C0090,Jeans Azul,Ropa Mujer,2,120000,240000,Marketplace
164,2025-05-01,C0264,Bolso de Cuero,Accesorios,3,175000,525000,Web
165,2025-01-27,C0472,Camiseta Negra,Ropa Hombre,4,45000,180000,Web
166,2025-05-01,C0208,Tenis Running,Calzado,5,200000,1000000,Web
167,2025-04-26,C0724,Chaqueta Jeans,Ropa Unisex,3,220000,660000,Marketplace
168,2025-01-03,C0271,Vestido Rojo,Ropa Mujer,2,180000,360000,Web
169,2025-04-13,C0263,Camiseta Negra,Ropa Hombre,1,45000,45000,Web
170,2025-06-04,C0506,Bolso de Cuero,Accesorios,4,175000,700000,RedesSociales
171,2025-05-17,C0785,Bolso de Cuero,Accesorios,1,175000,175000,RedesSociales
172,2025-03-03,C0512,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Web
173,2025-06-14,C0854,Bolso de Cuero,Accesorios,1,175000,175000,Marketplace
174,2025-02-20,C0726,Gorra Negra,Accesorios,3,35000,105000,Web
175,2025-06-21,C0886,Bolso de Cuero,Accesorios,3,175000,525000,Marketplace
176,2025-06-01,C0576,Zapatos Casual,Calzado,5,150000,750000,Web
177,2025-02-28,C0524,Tenis Running,Calzado,4,200000,800000,Web
178,2025-04-28,C0722,Camiseta Negra,Ropa Hombre,1,45000,45000,Web
179,2025-06-09,C0312,Vestido Rojo,Ropa Mujer,2,180000,360000,Web
180,2025-04-06,C0174,Gorra Negra,Accesorios,1,35000,35000,Web
181,2025-06-29,C0431,Gorra Negra,Accesorios,4,35000,140000,RedesSociales
182,2025-04-23,C0768,Vestido Rojo,Ropa Mujer,1,180000,180000,RedesSociales
183,2025-03-03,C0463,Bolso de Cuero,Accesorios,3,175000,525000,RedesSociales
184,2025-02-21,C0101,Jeans Azul,Ropa Mujer,3,120000,360000,RedesSociales
185,2025-01-12,C0016,Gorra Negra,Accesorios,4,35000,140000,Web
186,2025-02-08,C0709,Gorra Negra,Accesorios,5,35000,175000,Marketplace
187,2025-05-10,C0258,Camiseta Negra,Ropa Hombre,1,45000,45000,Web
188,2025-05-11,C0896,Chaqueta Jeans,Ropa Unisex,4,220000,880000,RedesSociales
189,2025-04-23,C0244,Zapatos Casual,Calzado,2,150000,300000,RedesSociales
190,2025-04-11,C0348,Vestido Rojo,Ropa Mujer,2,180000,360000,Web
191,2025-04-23,C0249,Bolso de Cuero,Accesorios,5,175000,875000,Web
192,2025-03-22,C0105,Sudadera Deportiva,Ropa Unisex,3,95000,285000,Web
193,2025-04-23,C0694,Sudadera Deportiva,Ropa Unisex,4,95000,380000,Web
194,2025-01-02,C0667,Jeans Azul,Ropa Mujer,1,120000,120000,RedesSociales
195,2025-05-10,C0287,Gorra Negra,Accesorios,4,35000,140000,RedesSociales
196,2025-02-23,C0169,Gorra Negra,Accesorios,5,35000,175000,Web
197,2025-03-28,C0420,Chaqueta Jeans,Ropa Unisex,4,220000,880000,Web
198,2025-05-09,C0047,Gorra Negra,Accesorios,5,35000,175000,Web
199,2025-05-27,C0043,Sudadera Deportiva,Ropa Unisex,5,95000,475000,RedesSociales
200,2025-05-06,C0321,Vestido Rojo,Ropa Mujer,5,180000,900000,RedesSociales
201,2025-05-10,C0818,Jeans Azul,Ropa Mujer,4,120000,480000,Marketplace
202,2025-02-22,C0221,Chaqueta Jeans,Ropa Unisex,2,220000,440000,Marketplace
203,2025-06-21,C0513,Zapatos Casual,Calzado,1,150000,150000,Marketplace
204,2025-06-09,C0712,Sudadera Deportiva,Ropa Unisex,5,95000,475000,Web
205,2025-06-09,C0441,Camiseta Blanca,Ropa Hombre,3,40000,120000,RedesSociales
206,2025-03-09,C0144,Camiseta Negra,Ropa Hombre,5,45000,225000,Marketplace
207,2025-05-03,C0890,Chaqueta Jeans,Ropa Unisex,4,220000,880000,Web
208,2025-05-25,C0028,Chaqueta Jeans,Ropa Unisex,5,220000,1100000,Web
209,2025-02-07,C0854,Sudadera Deportiva,Ropa Unisex,3,95000,285000,Marketplace
210,2025-01-24,C0850,Jeans Azul,Ropa Mujer,2,120000,240000,Web
211,2025-03-10,C0790,Camiseta Negra,Ropa Hombre,4,45000,180000,Marketplace
212,2025-04-26,C0553,Vestido Rojo,Ropa Mujer,4,180000,720000,RedesSociales
213,2025-04-08,C0844,Vestido Rojo,Ropa Mujer,4,180000,720000,Marketplace
214,2025-05-19,C0659,Gorra Negra,Accesorios,3,35000,105000,Marketplace
215,2025-05-24,C0857,Camiseta Blanca,Ropa Hombre,4,40000,160000,Marketplace
216,2025-04-07,C0690,Tenis Running,Calzado,2,200000,400000,Web
217,2025-05-04,C0827,Sudadera Deportiva,Ropa Unisex,1,95000,95000,Web
218,2025-03-11,C0837,Jeans Azul,Ropa Mujer,1,120000,120000,Web
219,2025-04-03,C0930,Camiseta Negra,Ropa Hombre,5,45000,225000,RedesSociales
220,2025-01-03,C0167,Jeans Azul,Ropa Mujer,1,120000,120000,RedesSociales
221,2025-05-28,C0635,Tenis Running,Calzado,3,200000,600000,Web
222,2025-06-13,C0586,Vestido Rojo,Ropa Mujer,1,180000,180000,RedesSociales
223,2025-05-27,C0751,Jeans Azul,Ropa Mujer,3,120000,360000,Marketplace
224,2025-03-31,C0249,Vestido Rojo,Ropa Mujer,3,180000,540000,RedesSociales
225,2025-05-27,C0775,Vestido Rojo,Ropa Mujer,5,180000,900000,Web
226,2025-05-28,C0764,Camiseta Blanca,Ropa Hombre,1,40000,40000,Marketplace
227,2025-04-06,C0357,Vestido Rojo,Ropa Mujer,5,180000,900000,Marketplace
228,2025-02-21,C0111,Bolso de Cuero,Accesorios,4,175000,700000,Web
229,2025-06-10,C0692,Vestido Rojo,Ropa Mujer,2,180000,360000,Web
230,2025-06-17,C0700,Camiseta Negra,Ropa Hombre,1,45000,45000,Web
231,2025-05-08,C0820,Camiseta Negra,Ropa Hombre,4,45000,180000,Web
232,2025-02-08,C0719,Camiseta Negra,Ropa Hombre,4,45000,180000,Web
233,2025-03-23,C0234,Chaqueta Jeans,Ropa Unisex,5,220000,1100000,Marketplace
234,2025-04-14,C0024,Sudadera Deportiva,Ropa Unisex,5,95000,475000,Marketplace
235,2025-05-09,C0026,Sudadera Deportiva,Ropa Unisex,2,95000,190000,RedesSociales
236,2025-01-11,C0381,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Web
237,2025-06-27,C0730,Bolso de Cuero,Accesorios,2,175000,350000,RedesSociales
238,2025-05-31,C0346,Camiseta Negra,Ropa Hombre,2,45000,90000,Marketplace
239,2025-06-08,C0378,Gorra Negra,Accesorios,5,35000,175000,Web
240,2025-02-11,C0522,Sudadera Deportiva,Ropa Unisex,3,95000,285000,Marketplace
241,2025-04-09,C0017,Tenis Running,Calzado,5,200000,1000000,Marketplace
242,2025-01-07,C0245,Tenis Running,Calzado,3,200000,600000,Web
243,2025-05-24,C0718,Jeans Azul,Ropa Mujer,5,120000,600000,Marketplace
244,2025-03-31,C0770,Chaqueta Jeans,Ropa Unisex,5,220000,1100000,Marketplace
245,2025-04-22,C0624,Gorra Negra,Accesorios,2,35000,70000,RedesSociales
246,2025-03-01,C0717,Vestido Rojo,Ropa Mujer,3,180000,540000,RedesSociales
247,2025-04-23,C0539,Camiseta Negra,Ropa Hombre,4,45000,180000,Marketplace
248,2025-01-02,C0969,Bolso de Cuero,Accesorios,4,175000,700000,Marketplace
249,2025-05-09,C0583,Chaqueta Jeans,Ropa Unisex,4,220000,880000,RedesSociales
250,2025-02-17,C0688,Camiseta Blanca,Ropa Hombre,2,40000,80000,RedesSociales
251,2025-05-20,C0202,Camiseta Blanca,Ropa Hombre,4,40000,160000,RedesSociales
252,2025-02-06,C0248,Zapatos Casual,Calzado,5,150000,750000,Marketplace
253,2025-06-09,C0118,Vestido Rojo,Ropa Mujer,2,180000,360000,Web
254,2025-01-09,C0009,Camiseta Negra,Ropa Hombre,4,45000,180000,RedesSociales
255,2025-04-09,C0598,Chaqueta Jeans,Ropa Unisex,2,220000,440000,Web
256,2025-05-27,C0023,Camiseta Blanca,Ropa Hombre,5,40000,200000,Marketplace
257,2025-02-17,C0967,Zapatos Casual,Calzado,2,150000,300000,Web
258,2025-05-11,C0240,Bolso de Cuero,Accesorios,4,175000,700000,Web
259,2025-05-28,C0585,Camiseta Negra,Ropa Hombre,2,45000,90000,Web
260,2025-06-01,C0027,Camiseta Blanca,Ropa Hombre,1,40000,40000,RedesSociales
261,2025-02-23,C0984,Sudadera Deportiva,Ropa Unisex,4,95000,380000,Marketplace
262,2025-04-30,C0861,Tenis Running,Calzado,5,200000,1000000,Marketplace
263,2025-06-10,C0081,Zapatos Casual,Calzado,3,150000,450000,Marketplace
264,2025-06-01,C0596,Bolso de Cuero,Accesorios,2,175000,350000,RedesSociales
265,2025-04-26,C0199,Camiseta Blanca,Ropa Hombre,2,40000,80000,Web
266,2025-03-16,C0555,Bolso de Cuero,Accesorios,4,175000,700000,Marketplace
267,2025-04-23,C1000,Vestido Rojo,Ropa Mujer,4,180000,720000,Marketplace
268,2025-06-13,C0775,Jeans Azul,Ropa Mujer,1,120000,120000,RedesSociales
269,2025-06-15,C0092,Zapatos Casual,Calzado,5,150000,750000,Web
270,2025-04-14,C0851,Chaqueta Jeans,Ropa Unisex,2,220000,440000,RedesSociales
271,2025-03-25,C0959,Chaqueta Jeans,Ropa Unisex,2,220000,440000,Web
272,2025-04-22,C0084,Camiseta Blanca,Ropa Hombre,3,40000,120000,Web
273,2025-04-09,C0300,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Web
274,2025-06-02,C0935,Sudadera Deportiva,Ropa Unisex,2,95000,190000,Web
275,2025-04-03,C0296,Vestido Rojo,Ropa Mujer,1,180000,180000,Marketplace
276,2025-05-26,C0647,Chaqueta Jeans,Ropa Unisex,3,220000,660000,Marketplace
277,2025-05-08,C0454,Zapatos Casual,Calzado,2,150000,300000,Web
278,2025-04-20,C0281,Tenis Running,Calzado,2,200000,400000,Marketplace
279,2025-03-23,C0059,Sudadera Deportiva,Ropa Unisex,5,95000,475000,RedesSociales
280,2025-02-23,C0909,Chaqueta Jeans,Ropa Unisex,2,220000,440000,RedesSociales
281,2025-06-12,C0871,Jeans Azul,Ropa Mujer,1,120000,120000,Marketplace
282,2025-06-18,C1000,Zapatos Casual,Calzado,2,150000,300000,RedesSociales
283,2025-06-10,C0342,Tenis Running,Calzado,2,200000,400000,Marketplace
284,2025-03-09,C0753,Jeans Azul,Ropa Mujer,4,120000,480000,Web
285,2025-02-02,C0465,Chaqueta Jeans,Ropa Unisex,2,220000,440000,Web
286,2025-05-22,C0880,Camiseta Blanca,Ropa Hombre,3,40000,120000,Web
287,2025-01-21,C0342,Gorra Negra,Accesorios,4,35000,140000,Marketplace
288,2025-02-17,C0610,Gorra Negra,Accesorios,3,35000,105000,RedesSociales
289,2025-05-28,C0062,Vestido Rojo,Ropa Mujer,3,180000,540000,RedesSociales
290,2025-05-08,C0776,Vestido Rojo,Ropa Mujer,1,180000,180000,Web
291,2025-05-16,C0625,Tenis Running,Calzado,2,200000,400000,Marketplace
292,2025-05-15,C0429,Jeans Azul,Ropa Mujer,3,120000,360000,Marketplace
293,2025-05-25,C0658,Chaqueta Jeans,Ropa Unisex,2,220000,440000,RedesSociales
294,2025-05-08,C0728,Chaqueta Jeans,Ropa Unisex,2,220000,440000,Web
295,2025-02-02,C0256,Camiseta Blanca,Ropa Hombre,1,40000,40000,Web
296,2025-06-25,C0828,Bolso de Cuero,Accesorios,1,175000,175000,RedesSociales
297,2025-04-25,C0828,Vestido Rojo,Ropa Mujer,3,180000,540000,RedesSociales
298,2025-04-29,C0874,Bolso de Cuero,Accesorios,3,175000,525000,Web
299,2025-01-22,C0770,Bolso de Cuero,Accesorios,4,175000,700000,Web
300,2025-06-07,C0706,Camiseta Blanca,Ropa Hombre,2,40000,80000,Marketplace
301,2025-02-07,C0347,Bolso de Cuero,Accesorios,2,175000,350000,RedesSociales
302,2025-04-19,C0526,Bolso de Cuero,Accesorios,1,175000,175000,Web
303,2025-02-20,C0304,Camiseta Blanca,Ropa Hombre,1,40000,40000,RedesSociales
304,2025-01-08,C0615,Sudadera Deportiva,Ropa Unisex,3,95000,285000,Web
305,2025-01-27,C0245,Bolso de Cuero,Accesorios,4,175000,700000,Marketplace
306,2025-01-27,C0757,Vestido Rojo,Ropa Mujer,4,180000,720000,Marketplace
307,2025-01-21,C0824,Camiseta Blanca,Ropa Hombre,1,40000,40000,Web
308,2025-01-30,C0780,Zapatos Casual,Calzado,1,150000,150000,Web
309,2025-04-07,C0736,Bolso de Cuero,Accesorios,4,175000,700000,Web
310,2025-01-28,C0732,Sudadera Deportiva,Ropa Unisex,4,95000,380000,RedesSociales
311,2025-04-21,C0823,Vestido Rojo,Ropa Mujer,3,180000,540000,Web
312,2025-03-02,C0412,Camiseta Negra,Ropa Hombre,4,45000,180000,Marketplace
313,2025-02-17,C0878,Vestido Rojo,Ropa Mujer,2,180000,360000,Marketplace
314,2025-05-27,C0217,Jeans Azul,Ropa Mujer,4,120000,480000,Marketplace
315,2025-01-04,C0516,Zapatos Casual,Calzado,5,150000,750000,RedesSociales
316,2025-02-04,C0474,Gorra Negra,Accesorios,4,35000,140000,Marketplace
317,2025-02-18,C0036,Chaqueta Jeans,Ropa Unisex,1,220000,220000,Marketplace
318,2025-01-17,C0178,Jeans Azul,Ropa Mujer,1,120000,120000,Marketplace
319,2025-06-21,C0387,Camiseta Blanca,Ropa Hombre,5,40000,200000,Marketplace
320,2025-06-07,C0769,Camiseta Blanca,Ropa Hombre,2,40000,80000,Web
321,2025-02-15,C0017,Chaqueta Jeans,Ropa Unisex,4,220000,880000,RedesSociales
322,2025-04-27,C0711,Tenis Running,Calzado,4,200000,800000,Web
323,2025-01-06,C0830,Tenis Running,Calzado,5,200000,1000000,Marketplace
324,2025-04-09,C0048,Chaqueta Jeans,Ropa Unisex,3,220000,660000,Marketplace
